FileStatus,LeftFileName,RightFileName,LeftFilePath,RightFilePath,LeftNumberOfLines,RightNumberOfLines,LeftFileNamePWeaver,LeftLeafFileName,RightLeafFileName
Both,#pwss#ecsltl.fugr.#pwss#ltl_carrier_rates_v2.abap,#pweaver#ecsltl.fugr.#pweaver#ltl_carrier_rates_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#ltl_carrier_rates_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#ltl_carrier_rates_v2.abap,322,322,#pweaver#ecsltl.fugr.#pweaver#ltl_carrier_rates_v2.abap,ltl_carrier_rates_v2.abap,ltl_carrier_rates_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#ltl_smc_rates_v2.abap,#pweaver#ecsltl.fugr.#pweaver#ltl_smc_rates_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#ltl_smc_rates_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#ltl_smc_rates_v2.abap,300,300,#pweaver#ecsltl.fugr.#pweaver#ltl_smc_rates_v2.abap,ltl_smc_rates_v2.abap,ltl_smc_rates_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#ltl_smc_table_rate_v2.abap,#pweaver#ecsltl.fugr.#pweaver#ltl_smc_table_rate_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#ltl_smc_table_rate_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#ltl_smc_table_rate_v2.abap,439,439,#pweaver#ecsltl.fugr.#pweaver#ltl_smc_table_rate_v2.abap,ltl_smc_table_rate_v2.abap,ltl_smc_table_rate_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#pickup_odfl.abap,#pweaver#ecsltl.fugr.#pweaver#pickup_odfl.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#pickup_odfl.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#pickup_odfl.abap,460,460,#pweaver#ecsltl.fugr.#pweaver#pickup_odfl.abap,pickup_odfl.abap,pickup_odfl.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_aaacooper_ltl.abap,#pweaver#ecsltl.fugr.#pweaver#rate_aaacooper_ltl.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_aaacooper_ltl.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_aaacooper_ltl.abap,359,359,#pweaver#ecsltl.fugr.#pweaver#rate_aaacooper_ltl.abap,rate_aaacooper_ltl.abap,rate_aaacooper_ltl.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_abf.abap,#pweaver#ecsltl.fugr.#pweaver#rate_abf.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_abf.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_abf.abap,342,342,#pweaver#ecsltl.fugr.#pweaver#rate_abf.abap,rate_abf.abap,rate_abf.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_averitt_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_averitt_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_averitt_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_averitt_v2.abap,335,335,#pweaver#ecsltl.fugr.#pweaver#rate_averitt_v2.abap,rate_averitt_v2.abap,rate_averitt_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_conway_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_conway_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_conway_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_conway_v2.abap,297,297,#pweaver#ecsltl.fugr.#pweaver#rate_conway_v2.abap,rate_conway_v2.abap,rate_conway_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_cts_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_cts_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_cts_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_cts_v2.abap,444,444,#pweaver#ecsltl.fugr.#pweaver#rate_cts_v2.abap,rate_cts_v2.abap,rate_cts_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_daylight_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_daylight_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_daylight_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_daylight_v2.abap,291,291,#pweaver#ecsltl.fugr.#pweaver#rate_daylight_v2.abap,rate_daylight_v2.abap,rate_daylight_v2.abap
